[dispatch] WELCOME  -> no handler
[dispatch] bct 6 6 0 1 0 0 0 0 0  -> handled
[dispatch] bct 6 7 1 0 0 0 0 0 0  -> handled
[dispatch] bct 6 8 0 0 0 0 0 0 0  -> handled
[dispatch] bct 6 9 0 0 0 0 0 0 0  -> handled
[dispatch] bct 6 10 0 0 0 1 0 0 0  -> handled
[dispatch] bct 6 11 0 0 1 0 0 0 0  -> handled
[dispatch] bct 6 12 1 0 0 0 0 0 0  -> handled
[dispatch] bct 6 13 2 0 0 0 0 0 0  -> handled
[dispatch] bct 6 14 1 1 0 0 0 0 0  -> handled
[dispatch] bct 6 15 1 0 0 0 0 0 1  -> handled
[dispatch] bct 6 16 1 0 0 0 0 0 0  -> handled
[dispatch] bct 6 17 0 0 0 0 0 0 0  -> handled
[dispatch] bct 6 18 1 0 0 1 0 0 0  -> handled
[dispatch] bct 6 19 0 0 0 0 0 0 0  -> handled
[dispatch] bct 6 20 2 1 0 1 0 0 0  -> handled
[dispatch] bct 6 21 0 0 0 0 1 0 0  -> handled
[dispatch] bct 6 22 0 0 0 0 0 0 1  -> handled
[dispatch] bct 6 23 0 0 0 0 0 0 0  -> handled
[dispatch] bct 6 24 1 0 0 0 0 0 0  -> handled
[dispatch] bct 6 25 0 0 0 0 0 0 0  -> handled
[dispatch] bct 6 26 0 0 0 1 0 0 0  -> handled
[dispatch] bct 6 27 0 0 0 0 0 0 0  -> handled
[dispatch] bct 6 28 1 0 0 0 0 0 0  -> handled
[dispatch] bct 6 29 0 1 0 0 0 0 0  -> handled
[dispatch] bct 7 0 0 0 0 1 0 0 0  -> handled
[dispatch] bct 7 1 0 1 0 1 0 0 0  -> handled
[dispatch] bct 7 2 1 0 0 1 0 0 0  -> handled
[dispatch] bct 7 3 0 0 0 0 0 0 0  -> handled
[dispatch] bct 7 4 2 0 0 0 0 0 0  -> handled
[dispatch] bct 7 5 1 2 0 0 0 0 0  -> handled
[dispatch] bct 7 6 0 1 0 0 0 0 0  -> handled
[dispatch] bct 7 7 3 0 0 0 0 0 0  -> handled
[dispatch] bct 7 8 1 0 1 0 0 0 0  -> handled
[dispatch] bct 7 9 0 0 0 0 0 0 0  -> handled
[dispatch] bct 7 10 1 1 0 0 0 0 0  -> handled
[dispatch] bct 7 11 1 1 0 0 0 0 0  -> handled
[dispatch] bct 7 12 1 0 1 0 0 0 0  -> handled
[dispatch] bct 7 13 2 0 0 0 0 0 0  -> handled
[dispatch] bct 7 14 0 0 0 1 0 0 0  -> handled
[dispatch] bct 7 15 4 0 0 0 0 0 0  -> handled
[dispatch] bct 7 16 0 0 0 0 0 0 0  -> handled
[dispatch] bct 7 17 0 0 0 0 0 0 0  -> handled
[dispatch] bct 7 18 1 0 0 0 0 0 0  -> handled
[dispatch] bct 7 19 1 0 0 0 0 0 0  -> handled
[dispatch] bct 7 20 1 0 0 0 0 0 0  -> handled
[dispatch] bct 7 21 2 0 0 1 0 0 0  -> handled
[dispatch] bct 7 22 2 0 0 0 0 0 0  -> handled
[dispatch] bct 7 23 0 0 0 0 1 0 0  -> handled
[dispatch] bct 7 24 0 0 1 1 0 0 0  -> handled
[dispatch] bct 7 25 0 0 0 0 0 0 0  -> handled
[dispatch] bct 7 26 1 0 0 0 0 0 0  -> handled
[dispatch] bct 7 27 0 0 1 1 0 0 0  -> handled
[dispatch] bct 7 28 2 0 0 0 0 0 0  -> handled
[dispatch] bct 7 29 0 0 0 0 0 0 0  -> handled
[dispatch] bct 8 0 1 0 0 0 0 0 0  -> handled
[dispatch] bct 8 1 3 1 0 0 0 0 0  -> handled
[dispatch] bct 8 2 1 0 0 0 0 0 0  -> handled
[dispatch] bct 8 3 0 1 0 0 0 0 0  -> handled
[dispatch] bct 8 4 1 0 0 0 0 0 0  -> handled
[dispatch] bct 8 5 0 0 0 0 0 0 0  -> handled
[dispatch] bct 8 6 1 0 0 0 0 1 0  -> handled
[dispatch] bct 8 7 1 0 0 0 0 0 0  -> handled
[dispatch] bct 8 8 0 0 0 0 0 0 0  -> handled
[dispatch] bct 8 9 0 0 0 0 0 0 0  -> handled
[dispatch] bct 8 10 1 0 0 0 1 0 0  -> handled
[dispatch] bct 8 11 1 0 1 0 0 0 0  -> handled
[dispatch] bct 8 12 0 0 0 0 0 0 0  -> handled
[dispatch] bct 8 13 0 1 0 0 0 0 0  -> handled
[dispatch] bct 8 14 1 0 0 0 1 0 0  -> handled
[dispatch] bct 8 15 0 0 0 0 0 0 0  -> handled
[dispatch] bct 8 16 0 0 1 0 0 0 0  -> handled
[dispatch] bct 8 17 0 1 0 0 0 0 0  -> handled
[dispatch] bct 8 18 1 0 1 0 0 0 1  -> handled
